domain,constraint,path,cause,count
IS,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",9
IS,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",335
IS,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",326
IS,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",1159
IS,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",3372
IS,InConstraintComponent,comparator,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",1476
IS,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",1316
IS,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",4097
IS,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",326
IS,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",4097
IS,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",4097
IS,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",326
IS,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",1159
IS,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",3372
IS,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",326
IS,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",1159
IS,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",3372
LB,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),1667
LB,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",6
LB,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",153
LB,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",147
LB,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",572
LB,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",1073
LB,InConstraintComponent,comparator,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",297
LB,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",643
LB,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",1667
LB,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",147
LB,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",1667
LB,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",1667
LB,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",147
LB,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",572
LB,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",1073
LB,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",147
LB,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",572
LB,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",1073
MB,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),142
MB,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",7
MB,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",21
MB,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",14
MB,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",58
MB,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",103
MB,InConstraintComponent,comparator,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",48
MB,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",43
MB,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",142
MB,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",14
MB,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",142
MB,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",142
MB,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",14
MB,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",58
MB,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",103
MB,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",14
MB,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",58
MB,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",103
MH,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),136
MH,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",3
MH,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",16
MH,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",13
MH,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",3
MH,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",116
MH,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",132
MH,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",82
MH,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",13
MH,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",82
MH,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",130
MH,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",13
MH,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",3
MH,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",116
MH,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",13
MH,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",3
MH,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",116
MI,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),82
MI,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",9
MI,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",17
MI,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",8
MI,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",47
MI,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",65
MI,InConstraintComponent,comparator,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",41
MI,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",23
MI,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",80
MI,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",8
MI,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",80
MI,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",82
MI,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",8
MI,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",47
MI,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",65
MI,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",8
MI,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",47
MI,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",65
MK,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),471
MK,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",10
MK,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",60
MK,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",50
MK,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",131
MK,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",371
MK,InConstraintComponent,comparator,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",122
MK,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",189
MK,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",471
MK,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",50
MK,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",471
MK,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",471
MK,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",50
MK,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",131
MK,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",371
MK,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",50
MK,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",131
MK,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",371
PR,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),166
PR,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",7
PR,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",23
PR,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",16
PR,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",17
PR,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",165
PR,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",166
PR,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",133
PR,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",16
PR,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",133
PR,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",166
PR,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",16
PR,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",17
PR,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",165
PR,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",16
PR,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",17
PR,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",165
QS,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),134
QS,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",17
QS,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",34
QS,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",13
QS,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",44
QS,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",96
QS,InConstraintComponent,comparator,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",39
QS,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",51
QS,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",134
QS,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",17
QS,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",134
QS,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",134
QS,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",13
QS,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",44
QS,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",96
QS,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",13
QS,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",44
QS,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",96
RE,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),1020
RE,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",4
RE,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",139
RE,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",135
RE,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",380
RE,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",750
RE,InConstraintComponent,comparator,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",135
RE,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",615
RE,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",1020
RE,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",135
RE,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",1020
RE,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",1020
RE,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",135
RE,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",380
RE,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",750
RE,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",135
RE,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",380
RE,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",750
RP,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),645
RP,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",8
RP,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",102
RP,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",94
RP,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",204
RP,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",363
RP,InConstraintComponent,comparator,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",94
RP,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",243
RP,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",645
RP,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",94
RP,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",645
RP,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",645
RP,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",94
RP,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",204
RP,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",363
RP,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",94
RP,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",204
RP,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",363
RS,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),1190
RS,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",163
RS,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",320
RS,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",157
RS,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",498
RS,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",876
RS,InConstraintComponent,comparator,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",393
RS,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",434
RS,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",1190
RS,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",157
RS,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",1190
RS,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",1190
RS,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",157
RS,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",498
RS,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",876
RS,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",157
RS,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",498
RS,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",876
SC,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),464
SC,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",7
SC,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",82
SC,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",75
SC,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",150
SC,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",314
SC,InConstraintComponent,comparator,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",75
SC,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",239
SC,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",464
SC,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",75
SC,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",464
SC,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",464
SC,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",75
SC,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",150
SC,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",314
SC,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",75
SC,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",150
SC,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",314
SR,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),125
SR,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",8
SR,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",20
SR,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",12
SR,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",24
SR,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",89
SR,InConstraintComponent,comparator,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",12
